date,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2023-06-24 00:00:00+00:00,22630955878.97284,366314006.391438,45425949.253171965,856055965.2622167,738795718.4279305,27490690982.21527,9303341351.32525,1151490201.0088356,635733745.49581,206656706.08100188,268952417.5854284,237864825.7967652,1193773037.9206965,5486635379.269365
2023-06-25 00:00:00+00:00,11736119929.84371,293139189.5847274,42428574.15296532,519757792.4773254,643608881.6352775,13928337335.107206,4889178964.702732,1580763439.045806,737502799.6817774,176469156.7523416,236589118.68573943,140504647.16135022,408373649.3167976,2339434620.578091
2023-06-26 00:00:00+00:00,12076819255.30491,196191972.6723025,41002088.17489266,520726839.4971085,463494457.8643504,14651066137.016628,7363880089.050316,1025970692.9305688,508529258.4997404,187472201.8491652,239281856.88855255,153391581.7572408,354703829.57694507,2340850961.552884
2023-06-27 00:00:00+00:00,16032184116.631308,288338311.4938256,43087737.62791576,781825263.0999359,537323741.3666562,22557703195.955856,9893270861.839865,1451052332.4100711,515948271.88669056,182777350.24510935,265261152.54871428,164844572.57342964,1170639748.9762745,4415974585.813046
2023-06-28 00:00:00+00:00,14411853963.110468,221552362.705415,112923826.26097,696818986.8407857,404700854.6556445,20500258844.81821,8806434878.37696,880793864.0227513,371893026.7501851,170343328.13720086,209622664.35659128,150832786.7262813,956574353.7915164,4081252223.316681
2023-06-29 00:00:00+00:00,8489428028.028098,293896104.3153506,193013032.79223576,821278549.3740807,516935562.13846,17418987220.982967,6821723542.735137,783703861.9021782,648131603.0013635,233130564.11290324,233703559.90745944,171975077.38724393,573355948.0687428,3018422672.9183006
2023-06-30 00:00:00+00:00,12545425127.446297,216415430.18805936,72947279.69019003,575213084.8797239,362113142.264163,16112541256.837349,6609358548.632103,1085251568.5810962,465187400.1481325,180074752.0800088,244542601.1386199,186088705.3196189,357198358.7234724,3537812928.9264884
2023-07-01 00:00:00+00:00,21422361050.823097,485437466.5771651,204805233.56334728,1016983988.8105904,3311758400.5986724,40611671688.7483,11695335269.509533,3270993752.960309,955712809.2756666,425857201.3658996,307417911.2904937,337011306.6693808,570385737.0118222,4634481661.587951
2023-07-02 00:00:00+00:00,4210431244.432685,578810194.2038541,62824033.7521591,567687674.2493538,1792544277.8253238,9513166274.446636,5763533551.087498,860528578.5700755,835243070.6153741,187193676.00359985,243262432.8817206,242446151.63451412,321825472.19739944,3189112864.128298
2023-07-03 00:00:00+00:00,7236318143.905301,433381418.9231376,60178245.81861771,822937093.0322157,1755354196.2871687,9641964189.840515,7183593046.18616,1459815922.004246,740730697.0915143,175401361.30073848,242670107.72106755,212622926.90348896,716183196.2164495,3501780765.1171603
2023-07-04 00:00:00+00:00,14755008156.77765,273529664.27649003,56465012.69642909,893581246.7063645,1116931466.5828547,23818500312.616814,9155212793.37497,619519336.6279794,947724682.4708503,171795458.12123698,248541750.12590504,180648613.91125163,303974620.1955416,2457411324.200455
2023-07-05 00:00:00+00:00,12403890725.264544,466447426.2777501,41323988.580571696,704205207.5325793,762246260.324601,16421946137.034252,6067277571.219523,445602532.212013,644743245.5151817,212363482.90645087,237029364.66104695,149116199.35396165,272510165.3726547,2457356737.7554617
2023-07-06 00:00:00+00:00,10260132141.46154,314238784.1143577,46096314.11023137,780909277.6090572,1770959375.3604088,15763916837.270569,8180984490.329683,780236818.3132837,608494036.1527718,197079188.8631909,276973892.0291504,168397161.4133381,685422450.6215667,2525737486.458804
2023-07-07 00:00:00+00:00,21776707863.503357,283315471.9656095,50022364.54285736,772623037.9496843,2025976076.642092,29431199350.180206,13544056615.640348,1145699820.161813,694188233.9790171,247352215.395918,326350437.8265423,171791300.87916636,1094015394.409848,3473150803.481536
2023-07-08 00:00:00+00:00,13018507892.814608,209752773.05982757,43141160.36212412,570272199.3048488,1797239546.5209708,11580264459.262156,8877609275.171074,615403822.5873561,494404951.4986446,178295012.6623645,449295005.0049851,120085716.62771316,328499937.569458,1988614691.6895
2023-07-09 00:00:00+00:00,5608541981.756295,152609375.24142298,44807363.77151057,330926326.2177808,1096104130.0095284,12430990317.222069,5224435476.270515,373394919.8790227,338013187.9951412,175732069.2925931,376128359.6497403,89066588.11746284,316945922.11953336,1772421349.6871407
2023-07-10 00:00:00+00:00,7559670230.189486,149659256.75003228,29874528.761175144,254714219.85400295,617661128.0181886,9027084566.994236,2772113286.210201,312704964.9012697,280162182.09928954,152531371.99395692,234379433.73403463,82627317.20844762,458913912.5004693,1943561718.0909116
2023-07-11 00:00:00+00:00,12835219756.96589,276390972.0737911,41120073.22580146,748189491.8631514,1297261551.6356838,18933578946.95063,8878301263.054636,584661717.4371085,1172157950.552947,218839799.4248851,221725361.1817488,125884465.09085064,527797683.3641567,3692184853.9190702
2023-07-12 00:00:00+00:00,11753418050.421658,159446736.99571678,35334063.07846,566443960.1459918,978021850.3888324,16799272349.371576,5503014510.733429,255660008.60808897,721813129.8434688,177982818.9669795,180617538.7286117,78282835.68626931,251770952.15798452,3217984036.151107
