Date,bitcoin_indegree,bitcoin_outdegree,bitcoin_pagerank,bitcoin_eigenvector,dogecoin_indegree,dogecoin_outdegree,dogecoin_pagerank,dogecoin_eigenvector,stellar_indegree,stellar_outdegree,stellar_pagerank,stellar_eigenvector,ripple_indegree,ripple_outdegree,ripple_pagerank,ripple_eigenvector,litecoin_indegree,litecoin_outdegree,litecoin_pagerank,litecoin_eigenvector,tether_indegree,tether_outdegree,tether_pagerank,tether_eigenvector,ethereum_indegree,ethereum_outdegree,ethereum_pagerank,ethereum_eigenvector,bitcoin-cash_indegree,bitcoin-cash_outdegree,bitcoin-cash_pagerank,bitcoin-cash_eigenvector,binancecoin_indegree,binancecoin_outdegree,binancecoin_pagerank,binancecoin_eigenvector,cardano_indegree,cardano_outdegree,cardano_pagerank,cardano_eigenvector,tron_indegree,tron_outdegree,tron_pagerank,tron_eigenvector,chainlink_indegree,chainlink_outdegree,chainlink_pagerank,chainlink_eigenvector,weth_indegree,weth_outdegree,weth_pagerank,weth_eigenvector,usd-coin_indegree,usd-coin_outdegree,usd-coin_pagerank,usd-coin_eigenvector
2024-05-06,13.0,13.0,0.09118103433174674,0.2672612419124244,13.0,13.0,0.09118103433174674,0.2672612419124244,9.0,13.0,0.053890616386593614,0.2672612419124244,9.0,13.0,0.053890616386593614,0.2672612419124244,13.0,13.0,0.09118103433174674,0.2672612419124244,10.0,13.0,0.058471303058911156,0.2672612419124244,11.0,13.0,0.06468393387836396,0.2672612419124244,11.0,8.0,0.06229446048626673,0.2672612419124244,13.0,5.0,0.08302808034609051,0.2672612419124244,10.0,10.0,0.05741422151914557,0.2672612419124244,13.0,5.0,0.0830280803460905,0.2672612419124244,13.0,13.0,0.09118103433174674,0.2672612419124244,11.0,13.0,0.06468393387836396,0.2672612419124244,9.0,13.0,0.053890616386593614,0.2672612419124244
2024-05-07,11.0,13.0,0.06321669979251725,0.2672612419124244,13.0,13.0,0.09733389285099239,0.2672612419124244,9.0,13.0,0.05331188613745189,0.2672612419124244,9.0,13.0,0.05331188613745189,0.2672612419124244,13.0,13.0,0.09733389285099239,0.2672612419124244,11.0,13.0,0.06321669979251725,0.2672612419124244,11.0,13.0,0.06321669979251725,0.2672612419124244,11.0,10.0,0.06207383667847125,0.2672612419124244,13.0,4.0,0.08552409525382791,0.2672612419124244,11.0,10.0,0.06207383667847125,0.2672612419124244,13.0,4.0,0.08552409525382793,0.2672612419124244,13.0,13.0,0.09733389285099239,0.2672612419124244,11.0,13.0,0.06321669979251725,0.2672612419124244,9.0,13.0,0.0533118861374519,0.2672612419124244
2024-05-08,11.0,13.0,0.06240126878479368,0.2672612419124244,13.0,13.0,0.09709954251798346,0.2672612419124244,11.0,13.0,0.06240126878479368,0.2672612419124244,11.0,13.0,0.06240126878479368,0.2672612419124244,13.0,13.0,0.09709954251798346,0.2672612419124244,11.0,13.0,0.06240126878479368,0.2672612419124244,11.0,13.0,0.06240126878479368,0.2672612419124244,11.0,13.0,0.06240126878479368,0.2672612419124244,13.0,3.0,0.08060864977671574,0.2672612419124244,11.0,13.0,0.06240126878479368,0.2672612419124244,12.0,4.0,0.06648130360619113,0.2672612419124244,13.0,13.0,0.09709954251798346,0.2672612419124244,11.0,13.0,0.06240126878479368,0.2672612419124244,11.0,13.0,0.06240126878479368,0.2672612419124244
2024-05-09,11.0,13.0,0.06125658159933108,0.2672612419124244,13.0,13.0,0.09431554854436228,0.2672612419124244,11.0,13.0,0.06125658159933108,0.2672612419124244,11.0,13.0,0.06125658159933108,0.2672612419124244,13.0,13.0,0.09431554854436228,0.2672612419124244,11.0,13.0,0.06125658159933108,0.2672612419124244,11.0,13.0,0.06125658159933108,0.2672612419124244,11.0,13.0,0.06125658159933108,0.2672612419124244,13.0,4.0,0.08287205998646686,0.2672612419124244,11.0,13.0,0.06125658159933108,0.2672612419124244,13.0,4.0,0.08287205998646686,0.2672612419124244,13.0,13.0,0.09431554854436228,0.2672612419124244,11.0,13.0,0.06125658159933108,0.2672612419124244,11.0,13.0,0.06125658159933108,0.2672612419124244
2024-05-10,11.0,13.0,0.06255323969449077,0.2672612419124244,13.0,13.0,0.09392364379679985,0.2672612419124244,12.0,13.0,0.0731872898125515,0.2672612419124244,11.0,13.0,0.06255323969449077,0.2672612419124244,13.0,13.0,0.09392364379679985,0.2672612419124244,11.0,13.0,0.06255323969449077,0.2672612419124244,11.0,13.0,0.06255323969449077,0.2672612419124244,11.0,13.0,0.06255323969449077,0.2672612419124244,12.0,5.0,0.06664325897066796,0.2672612419124244,11.0,13.0,0.06255323969449077,0.2672612419124244,13.0,3.0,0.07797260227045497,0.2672612419124244,13.0,13.0,0.09392364379679984,0.2672612419124244,11.0,13.0,0.06255323969449077,0.2672612419124244,11.0,13.0,0.06255323969449077,0.2672612419124244
2024-05-11,11.0,13.0,0.06265491988568549,0.2672612419124244,13.0,13.0,0.0867312859989671,0.2672612419124244,13.0,13.0,0.0867312859989671,0.2672612419124244,11.0,13.0,0.06265491988568549,0.2672612419124244,13.0,13.0,0.0867312859989671,0.2672612419124244,11.0,13.0,0.06265491988568549,0.2672612419124244,12.0,13.0,0.0715309226878809,0.2672612419124244,11.0,13.0,0.06265491988568549,0.2672612419124244,12.0,6.0,0.06675153656362183,0.2672612419124244,11.0,13.0,0.06265491988568549,0.2672612419124244,13.0,4.0,0.0762079575528305,0.2672612419124244,13.0,13.0,0.0867312859989671,0.2672612419124244,11.0,13.0,0.06265491988568549,0.2672612419124244,11.0,13.0,0.06265491988568549,0.2672612419124244
2024-05-12,12.0,13.0,0.06820221585287821,0.2672612419124244,13.0,13.0,0.08269514723342783,0.2672612419124244,13.0,13.0,0.08269514723342783,0.2672612419124244,12.0,13.0,0.06820221585287821,0.2672612419124244,13.0,13.0,0.08269514723342783,0.2672612419124244,11.0,13.0,0.06285918150681612,0.2672612419124244,12.0,13.0,0.06820221585287821,0.2672612419124244,12.0,13.0,0.06820221585287821,0.2672612419124244,12.0,10.0,0.06696920792686388,0.2672612419124244,12.0,13.0,0.06820221585287821,0.2672612419124244,13.0,4.0,0.07266157935458578,0.2672612419124244,13.0,13.0,0.08269514723342783,0.2672612419124244,11.0,13.0,0.06285918150681612,0.2672612419124244,11.0,13.0,0.06285918150681612,0.2672612419124244
2024-05-13,12.0,13.0,0.06736661525823683,0.2672612419124244,13.0,13.0,0.0816820183448722,0.2672612419124244,13.0,13.0,0.0816820183448722,0.2672612419124244,12.0,13.0,0.06736661525823683,0.2672612419124244,13.0,13.0,0.0816820183448722,0.2672612419124244,11.0,13.0,0.06291043312604559,0.2672612419124244,12.0,13.0,0.06736661525823683,0.2672612419124244,12.0,13.0,0.06736661525823683,0.2672612419124244,12.0,12.0,0.06702383201729904,0.2672612419124244,12.0,13.0,0.06736661525823683,0.2672612419124244,13.0,4.0,0.07177135466950924,0.2672612419124244,13.0,13.0,0.0816820183448722,0.2672612419124244,12.0,13.0,0.06736661525823683,0.2672612419124244,12.0,13.0,0.06736661525823683,0.2672612419124244
2024-05-14,12.0,13.0,0.06704486325026664,0.2672612419124244,13.0,13.0,0.08129191482975721,0.2672612419124244,13.0,13.0,0.08129191482975721,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,13.0,13.0,0.08129191482975721,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,13.0,4.0,0.07142857142857142,0.2672612419124244,13.0,13.0,0.08129191482975721,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244
2024-05-15,13.0,13.0,0.07518603558140412,0.2672612419124244,13.0,13.0,0.07518603558140412,0.2672612419124244,13.0,13.0,0.07518603558140412,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,13.0,13.0,0.07518603558140412,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,12.0,13.0,0.06704486325026664,0.2672612419124244,13.0,13.0,0.07518603558140412,0.2672612419124244,12.0,13.0,0.06704486325026665,0.2672612419124244,13.0,13.0,0.07518603558140412,0.2672612419124244,13.0,7.0,0.07142857142857144,0.2672612419124244,13.0,13.0,0.07518603558140412,0.2672612419124244,12.0,13.0,0.06704486325026665,0.2672612419124244,12.0,13.0,0.06704486325026665,0.2672612419124244
