,NetworkRisk
2021-03-08,0.011589406714416401
2021-03-09,0.0656894598026462
2021-03-10,-0.016945355908979005
2021-03-11,0.01651684041776885
2021-03-12,0.0053160421600193
2021-03-13,0.004185399406286299
2021-03-14,0.05056693952653895
2021-03-15,-0.023516450320789153
2021-03-16,-0.0192335377366242
2021-03-17,0.021090051859329953
2021-03-18,0.011207688928617347
2021-03-19,-0.004885300520136152
2021-03-20,0.0017067972417833498
2021-03-21,0.009026779264581
2021-03-22,-0.01825254287241775
2021-03-23,-0.013890428002365802
2021-03-24,-0.010186580636623949
2021-03-25,-0.010785917455235248
2021-03-26,-0.0186741963227855
2021-03-27,0.025093139471189657
2021-03-28,0.012236997692874198
2021-03-29,0.003454367749345699
2021-03-30,-0.015673267114438352
2021-03-31,4.0064868698000064e-05
2021-04-01,-0.02044941129058365
2021-04-02,0.04808258546338846
2021-04-03,-0.0677103017324477
2021-04-04,-0.0012057319503741039
2021-04-05,0.006401346504436949
2021-04-06,0.0158206257860908
2021-04-07,0.028996142304664546
2021-04-08,-0.0307237599311209
2021-04-09,0.014872716037234404
2021-04-10,0.0017950352217959503
2021-04-11,0.017637800291392804
2021-04-12,0.0772762666070267
2021-04-13,-0.024014427949939347
2021-04-14,0.1325856579910476
2021-04-15,0.09197240749660564
2021-04-16,0.1865503109673551
2021-04-17,0.3704554140338818
2021-04-18,-0.12781727665353035
2021-04-19,0.04433898336888455
2021-04-20,0.13551535668953565
2021-04-21,-0.1441125482883543
2021-04-22,-0.055892492515973294
2021-04-23,-0.12494776104127245
2021-04-24,-0.007923120277184201
2021-04-25,0.06129712075266895
2021-04-26,-0.0630887582068491
2021-04-27,0.0367079464158661
2021-04-28,-0.010489920808826249
2021-04-29,0.0641715671937126
2021-04-30,-0.0416787248451245
2021-05-01,0.08561502204646944
2021-05-02,0.04490813935369315
2021-05-03,-0.0304526864299232
2021-05-04,0.0120694135354871
2021-05-05,0.09897375812633005
2021-05-06,0.0810004536210581
2021-05-07,-0.06237453961881324
2021-05-08,0.08644595894745905
2021-05-09,-0.0767260654931325
2021-05-10,-0.056453078576615294
2021-05-11,-0.14512977946084665
2021-05-12,0.028503244138888505
2021-05-13,-0.12222999651266048
2021-05-14,0.10316042499216115
2021-05-15,0.02808753421933305
2021-05-16,-0.037113800307062544
2021-05-17,0.012140155946539501
2021-05-18,-0.010778873272087958
2021-05-19,-0.02672402332907
2021-05-20,-0.0916776297993668
2021-05-21,0.07317750038505991
2021-05-22,-0.035634887342625196
2021-05-23,0.0098690328919536
2021-05-24,-0.04262446089525454
2021-05-25,0.02116884902151349
2021-05-26,-0.04261679709065065
2021-05-27,-0.004356255462617101
2021-05-28,-0.018221970308325647
2021-05-29,-0.016204377995101445
2021-05-30,0.00910193662865795
2021-05-31,-0.013734431391893703
2021-06-01,-4.165772548690022e-05
2021-06-02,0.0726046990329747
2021-06-03,0.06670649371814044
2021-06-04,-0.04713909148246695
2021-06-05,-0.023002949311265897
2021-06-06,-0.009691189772327052
2021-06-07,-0.0163500489610435
2021-06-08,-0.06553159140403444
2021-06-09,0.0049515961500655
2021-06-10,0.06298901389614946
2021-06-11,-0.005060395934772352
2021-06-12,0.014486200599046251
2021-06-13,-0.03612828303817835
2021-06-14,0.03626948755211584
2021-06-15,0.010177521357534998
2021-06-16,-0.0077425485842536005
2021-06-17,-0.008492115939140447
2021-06-18,-0.0046876792299373
2021-06-19,-0.02421745187883255
2021-06-20,0.001431559870564699
2021-06-21,-0.0264222622272672
2021-06-22,-0.20424412768218364
2021-06-23,0.04941553172143625
2021-06-24,0.1051922315524364
2021-06-25,0.0651771970800862
2021-06-26,-0.043432582826624204
2021-06-27,0.006857567739127399
2021-06-28,0.034342385748377474
2021-06-29,-0.039231772966896256
2021-06-30,0.013389492074842649
2021-07-01,-0.05386735687073705
2021-07-02,-0.003741181840974349
2021-07-03,-0.0027934641337747992
2021-07-04,0.0010205715682768488
2021-07-05,-0.0158576789175723
2021-07-06,-0.02829338702620435
2021-07-07,-0.012984003908854099
2021-07-08,-0.0224920426469002
2021-07-09,-0.015818466221573298
2021-07-10,0.03729544895359875
2021-07-11,-0.0118112762505306
2021-07-12,0.008703016705708801
2021-07-13,-0.006341870844039598
2021-07-14,-0.008170892665378501
2021-07-15,-0.01234544897983315
2021-07-16,-0.03501909874382525
2021-07-17,-0.01599022125084245
2021-07-18,0.02144699040368285
2021-07-19,0.00416480674656565
2021-07-20,-0.025422007023766895
2021-07-21,-0.00711557794610615
2021-07-22,0.033404775660620056
2021-07-23,-0.0036133982766237503
2021-07-24,0.000841444245199597
2021-07-25,0.006342599752007853
2021-07-26,0.02398774320015995
2021-07-27,0.030924461697051202
2021-07-28,0.003587045730288653
2021-07-29,0.0187667056123003
2021-07-30,-0.0164008934322359
2021-07-31,-0.0015981254995668971
2021-08-01,0.001171379795438252
2021-08-02,-0.03950635142334525
2021-08-03,-0.0287444830618888
2021-08-04,-0.010522919214345203
2021-08-05,-0.00927393705044795
2021-08-06,-0.004970651285094298
2021-08-07,0.02167600765508655
2021-08-08,0.09065310766549761
2021-08-09,-0.027472863501796545
2021-08-10,0.042163156762707196
2021-08-11,-0.0017839742454205999
2021-08-12,0.012778403333534853
2021-08-13,0.006431098765753349
2021-08-14,0.028853790156047943
2021-08-15,-0.0751507961363745
2021-08-16,0.0651483490340361
2021-08-17,-0.005266084686502602
2021-08-18,-0.014509105754203402
2021-08-19,-0.00726697601942205
2021-08-20,-0.029838051958063744
2021-08-21,0.0045462210070972425
2021-08-22,-0.007077561053665849
2021-08-23,-0.0112303773506208
2021-08-24,-0.045041606370092205
2021-08-25,0.015266465623909452
2021-08-26,-0.005874864203633399
2021-08-27,0.003907308686166004
2021-08-28,0.007239474846134394
2021-08-29,0.007376946399902799
2021-08-30,0.0030308340156506505
2021-08-31,0.009272303176683497
2021-09-01,0.008001556762644
2021-09-02,0.0018197633486164502
2021-09-03,0.014992853970913152
2021-09-04,-0.015418751086596301
2021-09-05,0.0010794325485630005
2021-09-06,-0.0024978437890312982
2021-09-07,0.0110647730853079
2021-09-08,0.03677446886502672
2021-09-09,-0.004113480667452599
2021-09-10,-0.01647900380119225
2021-09-11,-0.00015437772922699544
2021-09-12,-0.010377277517138798
2021-09-13,0.010409046940262994
2021-09-14,-0.0240882458994676
2021-09-15,0.01170656664062325
2021-09-16,0.02141501575562335
2021-09-17,-0.0008805374988354008
2021-09-18,0.02907761340177955
2021-09-19,0.010130818077800498
2021-09-20,-0.0047661983590683975
2021-09-21,-0.03743727364817721
2021-09-22,-0.046763957499777395
2021-09-23,0.02678975810221465
2021-09-24,0.0264880546361832
2021-09-25,-0.017581282404159203
2021-09-26,-0.027480416940950603
2021-09-27,-0.024103799180285303
2021-09-28,-0.005175267243113148
2021-09-29,-0.00044584158169479887
2021-09-30,0.00379149633639015
2021-10-01,0.01178367706978475
2021-10-02,0.0446694675549407
2021-10-03,-0.024155383406605203
2021-10-04,0.0052368423534847
2021-10-05,0.059152130036156554
2021-10-06,0.023372543179458593
2021-10-07,0.025977731771988047
2021-10-08,-0.0314984092991584
2021-10-09,0.00456600534482565
2021-10-10,0.0144346032368289
2021-10-11,-0.018342994669528948
2021-10-12,0.01395279037932675
2021-10-13,-0.0157774975877478
2021-10-14,0.0090619205511279
