Date,bitcoin_indegree,bitcoin_outdegree,bitcoin_pagerank,bitcoin_eigenvector,dogecoin_indegree,dogecoin_outdegree,dogecoin_pagerank,dogecoin_eigenvector,stellar_indegree,stellar_outdegree,stellar_pagerank,stellar_eigenvector,ripple_indegree,ripple_outdegree,ripple_pagerank,ripple_eigenvector,litecoin_indegree,litecoin_outdegree,litecoin_pagerank,litecoin_eigenvector,tether_indegree,tether_outdegree,tether_pagerank,tether_eigenvector,ethereum_indegree,ethereum_outdegree,ethereum_pagerank,ethereum_eigenvector,bitcoin-cash_indegree,bitcoin-cash_outdegree,bitcoin-cash_pagerank,bitcoin-cash_eigenvector,binancecoin_indegree,binancecoin_outdegree,binancecoin_pagerank,binancecoin_eigenvector,cardano_indegree,cardano_outdegree,cardano_pagerank,cardano_eigenvector,tron_indegree,tron_outdegree,tron_pagerank,tron_eigenvector,chainlink_indegree,chainlink_outdegree,chainlink_pagerank,chainlink_eigenvector,weth_indegree,weth_outdegree,weth_pagerank,weth_eigenvector,usd-coin_indegree,usd-coin_outdegree,usd-coin_pagerank,usd-coin_eigenvector
2024-11-04,0.0,4.0,0.0378617326585699,0.29151142705109195,0.0,0.0,0.0378617326585699,2.2374456379635496e-17,0.0,4.0,0.0378617326585699,0.18476613921188537,1.0,2.0,0.045907145778718024,0.18316021699854607,0.0,3.0,0.0378617326585699,0.2048918219926533,5.0,0.0,0.10207852028468653,0.30521813758775035,2.0,1.0,0.05234347627483653,0.15403042447522128,5.0,0.0,0.11356858611790493,0.2836605463212347,0.0,5.0,0.0378617326585699,0.2727517632630333,5.0,0.0,0.19362309728838928,0.2898506115827801,5.0,3.0,0.1092776991204926,0.4202881972573499,0.0,4.0,0.0378617326585699,0.29151142705109195,2.0,1.0,0.05234347627483653,0.15403042447522128,5.0,3.0,0.10368760290871616,0.4052827349590827
2024-11-05,0.0,6.0,0.04062589623883334,0.30119985417116085,0.0,0.0,0.04062589623883334,2.3279085737557242e-11,0.0,4.0,0.04062589623883334,0.1680177856902388,1.0,4.0,0.04925910103415586,0.2187887563175464,2.0,4.0,0.056165664870413884,0.27878741378386795,5.0,0.0,0.16128982462524424,0.23551103975125295,4.0,0.0,0.06767660459751057,0.16869388536855082,6.0,0.0,0.11153607510203344,0.3049335158012334,0.0,5.0,0.04062589623883334,0.24534302758543924,6.0,0.0,0.11153607510203344,0.3049335158012334,5.0,1.0,0.09334939245304617,0.2834157899408564,0.0,6.0,0.04062589623883334,0.28532496661172224,3.0,4.0,0.06192113473396223,0.329603747993087,5.0,3.0,0.08413664628743334,0.3936992204778007
2024-11-06,0.0,4.0,0.03996364957498571,0.2034052943845852,0.0,0.0,0.03996364957498571,4.689158317432288e-11,0.0,4.0,0.03996364957498571,0.23886615688972282,0.0,5.0,0.03996364957498571,0.2530926545177734,3.0,3.0,0.06374189714960803,0.29585570918786513,4.0,0.0,0.14853835565357248,0.19271171385760072,5.0,0.0,0.0840808245564656,0.23922629648720484,5.0,0.0,0.11361528356532155,0.288612644026883,0.0,5.0,0.03996364957498571,0.27368155173506653,4.0,0.0,0.09555509371793904,0.23516351124865686,4.0,1.0,0.09050218260905298,0.2440840218401218,0.0,5.0,0.03996364957498571,0.2614954704956644,3.0,4.0,0.06374189714960803,0.346742579370661,6.0,3.0,0.10044256814851796,0.44037222103478857
2024-11-07,0.0,3.0,0.043824599536976996,0.1674298009222578,0.0,0.0,0.043824599536976996,1.238515635391249e-10,0.0,4.0,0.043824599536976996,0.22129480560871306,0.0,4.0,0.043824599536976996,0.19780941014381706,2.0,5.0,0.05934586373123219,0.3212188118352088,1.0,0.0,0.050033105214679074,0.04639739546992644,5.0,0.0,0.08889852945451657,0.24982809938073475,4.0,0.0,0.08269002377681449,0.19959142830184648,0.0,6.0,0.043824599536976996,0.2838374287281149,6.0,0.0,0.1368468530938927,0.2898113477127522,7.0,0.0,0.14305535877159478,0.33620874305882714,0.0,6.0,0.043824599536976996,0.30374527579522154,4.0,5.0,0.07797138076433842,0.3982388831466402,6.0,2.0,0.09821128797106969,0.3844947651402399
2024-11-08,0.0,3.0,0.04048546858569836,0.17929627126771489,1.0,0.0,0.09477188945891481,0.02837748297213305,0.0,4.0,0.04048546858569836,0.21587566657401216,0.0,4.0,0.04048546858569836,0.23093266048290342,5.0,4.0,0.08034683162902648,0.39588776706878154,3.0,1.0,0.06386621138560673,0.17124856356223833,6.0,0.0,0.10101429246972879,0.2976292386391205,6.0,0.0,0.09814656850977713,0.3061855521165246,0.0,5.0,0.04048546858569836,0.25841063899192385,1.0,0.0,0.044787054525625855,0.05934925512505189,4.0,0.0,0.1516321183377637,0.23954503081621223,0.0,8.0,0.04048546858569836,0.3581580348448121,4.0,5.0,0.07174365974917149,0.3884935119604113,5.0,1.0,0.09126403100589313,0.3030590979371019
2024-11-09,0.0,2.0,0.0430031478710036,0.10891806780462826,0.0,0.0,0.0430031478710036,1.0397870504469621e-12,0.0,6.0,0.0430031478710036,0.2814626615729641,0.0,7.0,0.0430031478710036,0.2893365700634423,4.0,5.0,0.08107869756178837,0.3512008527685439,6.0,0.0,0.09492548753870556,0.2761041664955603,6.0,0.0,0.09492548753870556,0.2761041664955603,5.0,0.0,0.08578735561291721,0.24753290142642123,0.0,4.0,0.0430031478710036,0.18827629314435587,3.0,0.0,0.0931374887593312,0.14708435775304057,5.0,0.0,0.12003875291594601,0.256002425556629,0.0,8.0,0.0430031478710036,0.3426319607795449,4.0,5.0,0.07716235530787907,0.3665369178165976,6.0,2.0,0.09492548753870556,0.33727346570214106
2024-11-10,0.0,3.0,0.04303560387549316,0.16694866170448905,0.0,0.0,0.04303560387549316,2.2404842580091642e-10,0.0,4.0,0.04303560387549316,0.20927172591870782,0.0,7.0,0.04303560387549316,0.32552898991034074,4.0,3.0,0.07874530361119679,0.3224031554448398,5.0,0.0,0.09890035346229563,0.27524786272931,4.0,0.0,0.07658946116604284,0.21723265692941843,6.0,0.0,0.09792818417884137,0.2846376486845636,0.0,4.0,0.04303560387549316,0.21939351796167278,2.0,0.0,0.09418003626478202,0.1222565152611105,4.0,0.0,0.12171673827845486,0.2413930775519457,0.0,7.0,0.04303560387549316,0.36044831810591016,3.0,4.0,0.06568077931764668,0.34985417417686304,6.0,2.0,0.10804552046778071,0.37520507006057596
2024-11-11,0.0,4.0,0.04192234506866707,0.2548858981086261,0.0,0.0,0.04192234506866707,8.981678667020382e-11,0.0,3.0,0.04192234506866707,0.1820056006358056,0.0,4.0,0.04192234506866707,0.2096055458861694,2.0,2.0,0.06270876339161666,0.20783230609037365,7.0,0.0,0.1366988826667468,0.34851803648995955,3.0,0.0,0.07013260397532642,0.1797708472513683,5.0,0.0,0.11917902126291709,0.2893294227311285,0.0,4.0,0.04192234506866707,0.26028590427253395,2.0,1.0,0.06300583197888657,0.1695413056153708,5.0,0.0,0.1460825289544612,0.2819619956629642,0.0,5.0,0.04192234506866707,0.2898532704271542,4.0,3.0,0.07904106897087625,0.40683625516959543,3.0,5.0,0.07161722838716647,0.38956163011074807
2024-11-12,0.0,4.0,0.04146995587398784,0.26251763102667663,0.0,0.0,0.04146995587398784,3.1330536990713306e-12,0.0,3.0,0.04146995587398784,0.1961617132629301,1.0,3.0,0.053219648700084166,0.2361187282703627,3.0,5.0,0.07965645755880091,0.40351796057875483,6.0,0.0,0.1440909084737778,0.32695065178290605,4.0,0.0,0.0919939809351849,0.21795636906250013,4.0,0.0,0.08318171131561267,0.2455578183010019,0.0,2.0,0.04146995587398784,0.12259191665496476,3.0,2.0,0.08063605983961943,0.32873959812484754,6.0,0.0,0.145824109233771,0.3451541321827146,0.0,4.0,0.04146995587398784,0.22401046329644153,1.0,2.0,0.0520154262535533,0.20256541682261048,2.0,5.0,0.06203191831965641,0.35479940181641756
2024-11-13,0.0,5.0,0.04219400911213408,0.27590755309845444,0.0,0.0,0.04219400911213408,1.6653017036303036e-12,0.0,4.0,0.04219400911213408,0.21026861705472813,3.0,1.0,0.06729971546193876,0.1977195398828242,2.0,4.0,0.05833339176557994,0.2945079743216756,5.0,0.0,0.0839542866342909,0.2679343529514158,3.0,0.0,0.06781490398084503,0.17988044671774817,5.0,0.0,0.10719300965187396,0.2796284213937856,0.0,4.0,0.04219400911213408,0.1945947325183564,3.0,1.0,0.0643855588839642,0.2344292431677031,7.0,0.0,0.21733013741129248,0.37572072959188113,0.0,6.0,0.04219400911213408,0.3136560085543885,4.0,2.0,0.07155861784105126,0.3383965228675244,1.0,6.0,0.05116033280849289,0.35300676447952434
